"index","Date","Open","High","Low","Close"
"371",2002-06-27,990.64,990.65,963.93,990.64
"372",2002-06-28,989.81,1001.78,988.57,989.81
"373",2002-07-01,968.65,994.35,967.52,968.65
"374",2002-07-02,948.09,968.65,945.65,948.09
"375",2002-07-03,953.99,954.2,934.88,953.99
"376",2002-07-05,989.03,989.07,953.99,989.03
"377",2002-07-08,976.98,993.59,973.04,976.98
"378",2002-07-09,952.83,979.69,951.78,952.83
"379",2002-07-10,920.47,956.04,920.31,920.47
"380",2002-07-11,927.37,928.99,901.01,927.37
"381",2002-07-12,921.39,934.07,913.71,921.39
"382",2002-07-15,917.93,921.39,876.57,917.93
"383",2002-07-16,901.05,918.69,897.28,901.05
"384",2002-07-17,906.04,926.55,895.39,906.04
"385",2002-07-18,881.56,907.66,880.71,881.56
"386",2002-07-19,847.76,881.56,842.14,847.76
"387",2002-07-22,819.85,853.9,813.54,819.85
"388",2002-07-23,797.7,827.63,796.24,797.7
"389",2002-07-24,843.42,844.2,775.96,843.42
"390",2002-07-25,838.68,853.72,816.16,838.68
"391",2002-07-26,852.84,852.84,836.22,852.84
"392",2002-07-29,898.96,898.96,852.84,898.96
"393",2002-07-30,902.78,909.69,884.93,902.78
"394",2002-07-31,911.62,911.63,889.87,911.62
"395",2002-08-01,884.66,911.62,882.56,884.66
"396",2002-08-02,864.24,884.7,853.99,864.24
"397",2002-08-05,834.6,864.24,833.44,834.6
"398",2002-08-06,859.57,874.18,834.6,859.57
"399",2002-08-07,876.77,878.49,854.23,876.77
"400",2002-08-08,905.46,905.86,875.16,905.46
"401",2002-08-09,908.64,913.89,890.84,908.64
"402",2002-08-12,903.8,908.64,892.49,903.8
"403",2002-08-13,884.21,911.75,883.68,884.21
"404",2002-08-14,919.62,920.13,876.2,919.62
"405",2002-08-15,930.25,932.43,918.23,930.25
"406",2002-08-16,928.77,935.37,916.56,928.77
"407",2002-08-19,950.72,951.13,927.3,950.72
"408",2002-08-20,937.43,950.7,931.88,937.43
"409",2002-08-21,949.36,951.44,931.34,949.36
"410",2002-08-22,962.7,964.84,946.87,962.7
"411",2002-08-23,940.86,962.7,937.17,940.86
"412",2002-08-26,947.95,950.64,930.5,947.95
"413",2002-08-27,934.82,955.46,930.33,934.82
"414",2002-08-28,917.87,934.82,913.39,917.87
"415",2002-08-29,917.8,924.61,903.3,917.8
"416",2002-08-30,916.07,928.07,910.17,916.07
"417",2002-09-03,878.02,916.07,877.54,878.02
"418",2002-09-04,893.4,896.1,875.86,893.4
"419",2002-09-05,879.15,893.4,870.55,879.15
"420",2002-09-06,893.92,899.01,879.15,893.92
"421",2002-09-09,902.96,907.19,883.12,902.96
"422",2002-09-10,909.58,909.9,900.52,909.58
"423",2002-09-11,909.45,923.98,908.5,909.45
"424",2002-09-12,886.91,909.45,884.9,886.91
